season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
G,R1X1,X01,X16,01,16,Kansas,Holy Cross,27,18,3,14,136,Midwest,Midwest,A,636,616,55.0,42.0,110.0,95.0,91.033333333333331,63.25,12.196948616582574,11.979148550710939,70,59
H,R2Y2,R1Y2,R1Y7,02,07,Pittsburgh,Indiana,26,20,4,12,139,Midwest,Midwest,A,731,625,56.0,47.0,96.0,91.0,74.599999999999994,70.53125,10.021975853094039,10.03738130378138,74,52
M,R2Z3,R1Z3,R1Z6,03,06,Xavier,Purdue,27,24,6,8,138,West,West,A,853,738,53.0,51.0,108.0,84.0,75.333333333333329,68.71875,13.399834161494521,7.1380773628127621,85,78
G,R2W3,R1W3,R1W6,03,11,Georgia,S Illinois,21,26,9,7,139,East,East,B,604,749,44.0,55.0,95.0,101.0,76.166666666666671,75.909090909090907,11.000252522354002,9.5357815346506349,75,77
P,R1Y3,Y03,Y14,03,14,BYU,Wofford,29,21,4,12,136,Southeast,Southeast,A,536,850,54.0,53.0,109.0,97.0,81.272727272727266,73.818181818181813,11.309081165347065,10.661327865033044,74,66
R,R2W2,R1W2,R1W7,02,07,Miami FL,Illinois,27,21,6,12,139,East,East,A,668,623,45.0,51.0,90.0,94.0,69.909090909090907,68.63636363636364,11.204338002873914,10.628201996854896,63,59
D,R2X2,R1X2,R1X7,02,10,Utah,Miami OH,25,22,4,7,139,Midwest,Midwest,B,821,669,49.0,43.0,89.0,83.0,71.172413793103445,68.793103448275858,10.664375001546169,9.653940808148219,58,66
F,R1X8,X08,X09,08,09,Georgia Tech,St Joseph's PA,17,25,12,6,136,West,West,B,606,779,54.0,67.0,111.0,104.0,76.103448275862064,79.870967741935488,12.882345116305512,9.4723432243690233,62,66
E,R1W7,W07,W10,07,10,Auburn,Creighton,22,23,9,9,136,Midwest,Midwest,A,518,562,51.0,46.0,100.0,102.0,70.451612903225808,73.15625,12.061238126348334,11.87726129785398,72,69
M,R1W1,W01,W16,01,16,North Carolina,Mt St Mary's,32,18,2,14,137,East,East,A,708,686,66.0,45.0,110.0,97.0,88.705882352941174,69.0625,11.213252169707649,9.8391358233332671,113,74
B,R1Y2,Y02,Y15,02,15,UCLA,Charleston So,21,15,7,12,136,Midwest,Midwest,A,810,545,61.0,53.0,96.0,85.0,78.821428571428569,70.740740740740748,10.014466576724219,8.0304632613594524,109,75
Q,R2Y1,R1Y1,R1Y8,01,08,Kentucky,Iowa St,32,22,2,10,138,South,South,A,640,629,57.0,55.0,108.0,92.0,76.67647058823529,73.1875,9.9638186284626666,9.2818286856631875,87,71
M,R3Z2,R2Z2,R2Z3,07,03,West Virginia,Xavier,23,27,10,6,143,West,West,B,843,853,39.0,53.0,110.0,108.0,74.696969696969703,75.333333333333329,15.186686451056994,13.399834161494521,75,79
F,R1W4,W04,W13,04,13,UCLA,Hofstra,21,26,8,4,136,East,East,A,810,615,63.0,53.0,98.0,94.0,80.862068965517238,73.63333333333334,10.718093429050919,9.1959532162552655,61,48
Q,R1W3,W03,W14,03,14,Florida St,St Bonaventure,24,20,9,11,137,East,East,A,595,775,41.0,43.0,90.0,98.0,70.333333333333329,70.677419354838705,11.371593173919443,11.906591009575443,66,63
D,R2W3,R1W3,R1W6,03,06,Cincinnati,Temple,26,21,5,10,139,East,East,B,549,789,52.0,49.0,115.0,85.0,74.645161290322577,66.612903225806448,15.417937578273358,8.6906602420211811,54,64
M,R1Y1,Y01,Y16,01,16,Memphis,UT Arlington,33,17,1,11,137,South,South,A,666,819,56.0,49.0,104.0,102.0,79.67647058823529,72.5,12.18176213524641,11.809499807963322,87,63
R,R1X2,X02,X15,02,15,Georgetown,FL Gulf Coast,25,22,6,10,137,South,South,B,603,591,37.0,50.0,90.0,96.0,64.58064516129032,72.34375,11.953604378942906,9.3294204502476994,68,78
D,R3W2,R2W2,R2W3,10,06,Purdue,Temple,19,21,12,10,144,East,East,B,738,789,43.0,49.0,101.0,85.0,69.096774193548384,66.612903225806448,13.646114509525264,8.6906602420211811,55,77
O,R2W1,R1W1,R1W8,01,09,Kentucky,Wake Forest,32,19,2,10,138,East,East,A,640,839,58.0,47.0,104.0,96.0,79.235294117647058,72.965517241379317,11.414796443856162,11.642617191907021,90,60
A,R2X2,R1X2,R1X7,02,10,Wake Forest,Texas,23,20,5,9,139,Midwest,Midwest,A,839,793,41.0,58.0,91.0,110.0,69.785714285714292,82.517241379310349,11.687469305863873,12.127542576372841,65,62
E,R1Z5,Z05,Z12,05,12,Connecticut,Utah St,24,24,9,5,137,South,South,A,559,822,57.0,42.0,98.0,83.0,75.303030303030297,69.206896551724142,9.9040391163031849,9.5534045577726303,75,67
J,R4W1,R3W1,R3W2,04,07,Louisville,West Virginia,27,21,4,10,145,Albuquerque,Albuquerque,A,651,843,53.0,46.0,107.0,96.0,80.548387096774192,70.225806451612897,13.835062306019672,11.647261002732138,93,85
Q,R2Z1,R1Z1,R1Z8,01,09,Michigan St,St Louis,27,24,7,7,139,West,West,A,671,780,41.0,58.0,110.0,86.0,72.147058823529406,69.096774193548384,13.180048096272985,7.2350171710328715,65,61
Q,R2Y3,R1Y3,R1Y6,03,11,Baylor,Colorado,26,21,7,11,138,South,South,A,521,556,54.0,50.0,106.0,87.0,74.272727272727266,66.28125,11.155302387199653,9.6444102171931689,80,63
I,R2W4,R1W4,R1W5,04,05,Cincinnati,Illinois,24,24,6,6,139,Atlanta,Atlanta,B,549,623,54.0,51.0,102.0,94.0,76.900000000000006,72.533333333333331,10.839280418920808,11.893228699091301,68,92
G,R3W2,R2W2,R2W3,02,11,Connecticut,S Illinois,24,26,6,7,144,East,East,A,559,749,46.0,55.0,110.0,101.0,77.933333333333337,75.909090909090907,13.343995736743258,9.5357815346506349,71,59
G,R3W1,R2W1,R2W4,01,04,Maryland,Kentucky,26,19,4,9,144,East,East,A,662,640,56.0,51.0,112.0,101.0,85.299999999999997,75.142857142857139,12.36702605048333,13.160314492861499,78,68
N,R2Z4,R1Z4,R1Z5,04,05,Washington,Purdue,25,25,8,9,138,West,West,B,840,738,54.0,48.0,103.0,90.0,78.939393939393938,69.352941176470594,9.6418890200579881,9.8783255098671834,74,76
R,R2X2,R1X2,R1X7,15,07,FL Gulf Coast,San Diego St,22,20,10,10,139,South,South,A,591,754,50.0,45.0,96.0,88.0,72.34375,68.266666666666666,9.3294204502476994,10.513272035331763,81,71
G,R4X1,R3X1,R3X2,01,02,Kansas,Oregon,27,22,3,8,146,Midwest,Midwest,A,636,725,55.0,58.0,110.0,115.0,91.033333333333331,86.400000000000006,12.196948616582574,12.87529934927081,104,86
B,R2Z1,R1Z1,R1Z8,01,08,Kentucky,Iowa,29,20,4,9,138,West,West,A,640,628,58.0,48.0,105.0,93.0,83.090909090909093,72.58620689655173,10.419572597422011,11.740050053877056,75,69
K,R2Z3,R1Z3,R1Z6,03,11,North Carolina,George Mason,22,23,7,7,139,WashingtonDC,WashingtonDC,B,708,602,59.0,49.0,112.0,95.0,80.379310344827587,69.400000000000006,10.330449778582926,9.6939843889565509,60,65
K,R1W3,W03,W14,03,14,Iowa,Northwestern LA,25,22,8,7,137,Atlanta,Atlanta,B,628,716,45.0,55.0,94.0,97.0,66.393939393939391,75.758620689655174,10.415429678619422,9.2350724747965209,63,64
F,R5WX,R4W1,R4X1,01,03,Duke,Maryland,29,21,4,10,152,East,West,A,577,662,63.0,62.0,115.0,123.0,91.424242424242422,85.741935483870961,10.657278926773413,14.895263897510604,95,84
I,R4Y1,R3Y1,R3Y2,01,02,St Joseph's PA,Oklahoma St,27,26,1,3,145,EastRutherford,EastRutherford,B,779,722,57.0,57.0,114.0,96.0,77.785714285714292,78.206896551724142,11.155898961206715,10.158669850291892,62,64
J,R1W8,W08,W09,08,09,Pacific,Pittsburgh,26,20,3,8,136,Albuquerque,Albuquerque,A,727,731,52.0,55.0,94.0,93.0,72.41379310344827,72.357142857142861,10.49307568525569,9.2242471071560921,79,71
C,R3Y1,R2Y1,R2Y4,08,13,Rhode Island,Valparaiso,22,20,8,8,144,Midwest,Midwest,A,741,826,57.0,51.0,96.0,102.0,77.13333333333334,73.535714285714292,9.3763295353542038,12.315733673572492,74,68
M,R2W4,R1W4,R1W5,04,05,Washington St,Notre Dame,24,24,8,7,138,East,East,A,841,717,51.0,64.0,86.0,108.0,67.0625,80.612903225806448,7.6073052883396235,11.000520279059058,61,41
H,R1W5,W05,W12,05,12,Mississippi St,Butler,21,24,9,5,137,East,East,B,675,535,49.0,52.0,100.0,81.0,70.166666666666671,68.58620689655173,12.242231096586202,7.6632451997620805,46,47
N,R1Y6,Y06,Y11,06,11,West Virginia,Dayton,23,26,11,7,137,Midwest,Midwest,B,843,569,43.0,45.0,93.0,91.0,72.382352941176464,67.515151515151516,12.739504805876953,11.116793771808576,60,68
P,R3X2,R2X2,R2X3,02,03,San Diego St,Connecticut,30,26,2,9,143,West,West,B,754,559,51.0,56.0,96.0,97.0,71.03125,73.400000000000006,11.043902092897238,9.8247500876976126,67,74
J,R1Z8,Z08,Z09,08,09,Minnesota,Iowa St,21,18,10,11,137,Syracuse,Syracuse,B,673,629,52.0,51.0,94.0,92.0,68.451612903225808,68.379310344827587,11.603221770829828,10.736382852979633,53,64
I,R1W5,W05,W12,05,12,Illinois,Murray St,24,25,6,5,137,Atlanta,Atlanta,A,623,687,51.0,49.0,94.0,100.0,72.533333333333331,80.799999999999997,11.893228699091301,13.548431643551959,72,53
O,R1Z4,Z04,Z13,04,13,Vanderbilt,Murray St,23,28,8,4,136,West,West,B,827,687,52.0,55.0,99.0,94.0,77.548387096774192,76.09375,12.489579423372778,9.8626802106476106,65,66
L,R1Y6,Y06,Y11,06,11,Notre Dame,Winthrop,24,24,7,4,137,Midwest,Midwest,B,717,848,48.0,51.0,103.0,109.0,81.548387096774192,74.107142857142861,12.704682168848084,12.723261278108703,64,74
B,R3X2,R2X2,R2X3,10,14,Providence,Chattanooga,20,18,11,10,144,Southeast,Southeast,A,737,547,56.0,49.0,100.0,92.0,74.677419354838705,73.892857142857139,9.5356279180703911,9.2131090057059666,71,65
O,R2Y3,R1Y3,R1Y6,14,06,Ohio,Tennessee,20,25,14,8,138,Midwest,Midwest,B,719,790,49.0,45.0,99.0,124.0,73.441176470588232,73.63636363636364,12.909620617906238,15.099303981185802,68,83
G,R3X1,R2X1,R2X4,01,04,Kansas,Illinois,27,24,3,8,144,Midwest,Midwest,A,636,623,55.0,56.0,110.0,105.0,91.033333333333331,77.3125,12.196948616582574,12.151228075795467,73,69
I,R1W8,W08,W09,08,09,Seton Hall,Arizona,19,20,9,9,136,Atlanta,Atlanta,A,764,511,55.0,61.0,91.0,109.0,72.285714285714292,87.517241379310349,9.497582936339807,12.593432031064699,80,76
N,R5WX,R4W1,R4X1,03,01,Villanova,North Carolina,26,27,7,4,152,East,South,B,829,708,54.0,69.0,107.0,116.0,76.545454545454547,89.387096774193552,13.724763969027288,11.412153734576243,69,83
F,R2W4,R1W4,R1W5,04,12,UCLA,Utah St,21,25,8,5,138,East,East,A,810,822,63.0,50.0,98.0,89.0,80.862068965517238,71.0,10.718093429050919,10.353743284435827,75,50
L,R1Y4,Y04,Y13,04,13,Maryland,Davidson,24,27,8,4,136,Midwest,Midwest,A,662,568,58.0,47.0,102.0,101.0,79.5,80.0,11.784523749392676,10.52799647024159,82,70
M,R3Y2,R2Y2,R2Y3,02,03,Texas,Stanford,27,26,6,7,144,South,South,A,793,783,58.0,52.0,102.0,111.0,74.848484848484844,70.666666666666671,11.271097959802646,11.226771755068508,82,62
L,R2Y2,R1Y2,R1Y7,02,07,Wisconsin,UNLV,29,27,5,6,139,Midwest,Midwest,B,849,817,48.0,50.0,98.0,103.0,70.088235294117652,75.030303030303031,11.647690119551914,12.256068004807892,68,74
E,R1X6,X06,X11,06,11,Purdue,Dayton,20,22,9,8,136,West,West,A,738,569,45.0,50.0,97.0,104.0,74.0,71.766666666666666,12.918844829323477,12.467780698887655,62,61
H,R1X6,X06,X11,06,11,Maryland,UNC Wilmington,19,24,9,6,137,South,South,A,662,816,52.0,48.0,108.0,88.0,80.785714285714292,71.36666666666666,12.470986737386967,8.6582651585381445,75,73
K,R4Z1,R3Z1,R3Z2,01,11,Connecticut,George Mason,27,23,3,7,146,WashingtonDC,WashingtonDC,B,559,602,64.0,49.0,129.0,95.0,81.333333333333329,69.400000000000006,14.826402875351196,9.6939843889565509,84,86
E,R2Z3,R1Z3,R1Z6,03,06,Ohio St,Miami FL,22,21,6,10,139,South,South,B,720,668,51.0,45.0,99.0,102.0,72.607142857142861,68.548387096774192,11.191001760707719,12.05856330627519,62,75
H,R1W4,W04,W13,04,13,Louisville,Austin Peay,24,20,6,7,137,East,East,A,651,519,58.0,46.0,104.0,87.0,81.833333333333329,69.703703703703709,10.724064320748713,11.740448646909837,86,64
E,R4Z1,R3Z1,R3Z2,08,07,North Carolina,Tulsa,18,29,13,4,146,South,South,A,708,802,52.0,59.0,102.0,113.0,76.741935483870961,81.242424242424249,10.025669447314,12.417071101073285,59,55
G,R2X4,R1X4,R1X5,04,12,Illinois,Creighton,24,22,8,8,139,Midwest,Midwest,A,623,562,56.0,52.0,105.0,102.0,77.3125,75.933333333333337,12.151228075795467,11.6216273482771,72,60
O,R1W4,W04,W13,04,13,Wisconsin,Wofford,23,25,8,8,137,East,East,A,849,850,47.0,44.0,90.0,84.0,67.483870967741936,69.030303030303031,10.763951090567296,9.2588527612025029,53,49
E,R3Z2,R2Z2,R2Z3,07,06,Tulsa,Miami FL,29,21,4,10,144,South,South,A,802,668,59.0,45.0,113.0,102.0,81.242424242424249,68.548387096774192,12.417071101073285,12.05856330627519,80,71
I,R5YZ,R4Y1,R4Z1,02,03,Oklahoma St,Georgia Tech,26,23,3,9,152,EastRutherford,StLouis,B,722,606,57.0,63.0,96.0,94.0,78.206896551724142,78.0625,10.158669850291892,7.0575203683730168,65,67
A,R2Y2,R1Y2,R1Y7,02,07,Cincinnati,Temple,25,19,4,12,139,Southeast,Southeast,A,549,789,62.0,35.0,103.0,77.0,80.448275862068968,59.838709677419352,11.306349168060706,9.4871620359493161,78,65
M,R1Y4,Y04,Y13,04,13,Pittsburgh,Oral Roberts,26,23,9,8,136,South,South,A,731,724,53.0,51.0,103.0,88.0,74.142857142857139,68.870967741935488,12.301318993489756,9.6277218538828624,82,63
G,R1W6,W06,W11,06,11,Texas Tech,S Illinois,23,26,8,7,137,East,East,B,796,749,50.0,55.0,101.0,101.0,79.483870967741936,75.909090909090907,11.586619000136251,9.5357815346506349,68,76
B,R1W6,W06,W11,06,11,Louisville,Massachusetts,23,18,8,13,137,East,East,A,651,663,44.0,47.0,102.0,90.0,75.806451612903231,66.967741935483872,14.033184989778198,11.712920549733552,65,57
I,Z16,Z16a,Z16b,16,16,Florida A&M,Lehigh,14,18,16,10,134,StLouis,StLouis,A,593,644,55.0,48.0,93.0,104.0,72.099999999999994,65.857142857142861,10.047719475914258,12.043712899607135,72,57
B,R4W1,R3W1,R3W2,01,06,North Carolina,Louisville,24,23,6,8,146,East,East,A,708,651,45.0,44.0,106.0,102.0,77.86666666666666,75.806451612903231,14.34975803125459,14.033184989778198,97,74
F,R1Y3,Y03,Y14,03,14,Mississippi,Iona,25,21,7,10,137,Midwest,Midwest,A,674,627,50.0,59.0,105.0,105.0,72.15625,77.290322580645167,14.186501892203729,11.506501804063189,72,70
N,R1W8,W08,W09,08,09,Oklahoma St,Tennessee,22,21,11,12,137,East,East,A,722,790,59.0,52.0,122.0,114.0,81.121212121212125,78.484848484848484,12.482126799542337,11.292585961785541,77,75
A,R1Y3,Y03,Y14,03,14,Georgia Tech,Austin Peay,22,17,11,10,137,Southeast,Southeast,A,606,519,60.0,58.0,98.0,102.0,79.545454545454547,77.777777777777771,9.7143783128674599,10.798948279838054,90,79
I,R1W1,W01,W16,01,16,Duke,Alabama St,27,16,5,14,136,Atlanta,Atlanta,A,577,506,56.0,43.0,99.0,79.0,79.75,61.43333333333333,9.7275382291718593,9.4080934424686831,96,61
J,R2W1,R1W1,R1W8,01,08,Washington,Pacific,26,26,5,3,138,Albuquerque,Albuquerque,A,840,727,66.0,52.0,114.0,94.0,86.225806451612897,72.41379310344827,13.314337839020434,10.49307568525569,97,79
B,R1Z4,Z04,Z13,04,13,St Joseph's PA,Pacific,24,22,6,5,136,West,West,A,779,727,55.0,54.0,89.0,96.0,70.900000000000006,71.851851851851848,8.4591173692452504,10.344809769311244,75,65
J,R2Z2,R1Z2,R1Z7,02,10,Connecticut,NC State,22,19,7,13,139,Syracuse,Syracuse,B,559,695,59.0,45.0,123.0,100.0,78.620689655172413,73.84375,13.394321475917987,12.394831016899746,62,65
C,R5YZ,R4Y1,R4Z1,03,02,Stanford,Kentucky,25,29,4,4,152,Midwest,South,B,783,640,56.0,63.0,99.0,99.0,80.275862068965523,79.060606060606062,12.002576021562575,8.6372673636676556,85,86
Q,R2W1,R1W1,R1W8,01,08,Syracuse,Kansas St,31,21,2,10,138,East,East,A,786,637,52.0,49.0,98.0,92.0,74.575757575757578,71.41935483870968,12.19296941741255,9.2449609414844662,75,59
F,R2W2,R1W2,R1W7,02,07,Kentucky,Iowa,22,22,9,11,138,East,East,A,640,628,45.0,54.0,103.0,99.0,79.774193548387103,74.090909090909093,13.458921198725651,10.013214409464991,92,79
P,R1Y6,Y06,Y11,06,11,St John's,Gonzaga,21,23,11,9,136,Southeast,Southeast,B,778,607,51.0,58.0,93.0,117.0,70.0625,75.875,10.529534355801305,12.496874609277313,71,86
O,R1Z5,Z05,Z12,05,12,Butler,UTEP,28,26,4,6,136,West,West,A,535,824,48.0,49.0,91.0,101.0,70.09375,75.78125,8.1676166007899766,12.822671267622047,77,59
K,R1X2,X02,X15,02,15,UCLA,Belmont,27,20,6,10,136,Oakland,Oakland,A,810,522,50.0,59.0,86.0,103.0,68.575757575757578,81.833333333333329,9.2573649730504197,11.775917043789933,78,44
O,R1Y6,Y06,Y11,06,11,Tennessee,San Diego St,25,23,8,8,136,Midwest,Midwest,A,790,754,45.0,52.0,124.0,89.0,73.63636363636364,69.806451612903231,15.099303981185802,9.3891473206542546,62,59
E,R2Z2,R1Z2,R1Z7,02,07,Cincinnati,Tulsa,28,29,3,4,139,South,South,B,549,802,58.0,59.0,106.0,113.0,78.548387096774192,81.242424242424249,10.823626217461381,12.417071101073285,61,69
Q,R6CH,R5WX,R5YZ,02,01,Kansas,Kentucky,27,32,6,2,154,Midwest,South,B,636,640,59.0,57.0,100.0,108.0,75.030303030303031,76.67647058823529,9.8118198617321628,9.9638186284626666,59,67
R,R2Z2,R1Z2,R1Z7,02,10,Ohio St,Iowa St,26,22,7,11,139,West,West,A,720,629,49.0,51.0,91.0,98.0,69.303030303030297,79.63636363636364,10.737882101670923,9.7819195668960166,78,75
D,R1W4,W04,W13,04,13,Tennessee,Delaware,20,25,8,5,137,East,East,A,790,570,47.0,55.0,100.0,99.0,73.75,78.066666666666663,13.993940014979954,11.480224542906623,62,52
Q,R1W2,W02,W15,02,15,Ohio St,Loyola MD,27,24,7,8,136,East,East,A,720,653,48.0,48.0,107.0,87.0,74.764705882352942,67.59375,11.350197778866109,8.5654078091763974,78,59
I,R3X2,R2X2,R2X3,02,06,Connecticut,Vanderbilt,27,21,6,9,143,Phoenix,Phoenix,A,559,827,56.0,55.0,111.0,98.0,79.090909090909093,73.833333333333329,14.024575046473236,11.535693400148178,73,53
I,R1Z4,Z04,Z13,04,13,Kansas,IL Chicago,20,24,8,7,137,StLouis,StLouis,A,636,622,55.0,48.0,96.0,90.0,74.857142857142861,70.0,11.057364338867059,9.4151559355287677,78,53
O,R1Y5,Y05,Y12,05,12,Michigan St,New Mexico St,24,21,8,11,137,Midwest,Midwest,A,671,702,49.0,55.0,106.0,97.0,72.625,78.5,12.606421974533456,11.924240017711821,70,67
C,R1W6,W06,W11,06,11,Xavier,Washington,22,18,7,9,136,East,East,B,853,840,62.0,52.0,118.0,101.0,84.068965517241381,79.074074074074076,12.193641741901612,11.54997491075013,68,69
C,R1W7,W07,W10,07,10,Indiana,Oklahoma,19,21,11,10,136,East,East,A,625,721,53.0,43.0,103.0,95.0,76.5,73.838709677419359,11.1257958516833,11.336770815740081,94,87
B,R1Z6,Z06,Z11,06,11,Stanford,Oklahoma,18,19,7,10,137,West,West,A,783,721,61.0,47.0,109.0,95.0,80.079999999999998,74.517241379310349,9.6909029507058833,11.62820794345452,80,67
F,R1Y5,Y05,Y12,05,12,Syracuse,Hawaii,24,17,8,13,137,Midwest,Midwest,A,786,613,54.0,56.0,105.0,102.0,73.0625,72.833333333333329,12.939613353960775,12.374929853897713,79,69
O,R1Y4,Y04,Y13,04,13,Maryland,Houston,22,18,8,15,137,Midwest,Midwest,A,662,617,53.0,55.0,106.0,105.0,79.266666666666666,78.818181818181813,12.925255209171779,12.144220586925776,89,77
O,R4X1,R3X1,R3X2,01,03,Duke,Baylor,29,24,5,7,146,South,South,A,577,521,57.0,55.0,114.0,94.0,77.970588235294116,76.709677419354833,13.954727839185683,9.6426256241855537,78,71
L,R1Z8,Z08,Z09,08,09,Kentucky,Villanova,21,21,11,10,137,West,West,A,640,829,57.0,55.0,95.0,108.0,73.53125,72.161290322580641,9.6371169670965386,13.626579279158682,67,58
F,R2Y1,R1Y1,R1Y8,01,09,Illinois,Charlotte,24,21,7,10,139,Midwest,Midwest,A,623,546,55.0,56.0,95.0,106.0,77.064516129032256,79.096774193548384,10.643597148038809,12.110658698448312,79,61
L,R2Z1,R1Z1,R1Z8,01,08,Kansas,Kentucky,30,21,4,11,139,West,West,A,636,640,57.0,57.0,97.0,95.0,78.441176470588232,73.53125,11.288180118186583,9.6371169670965386,88,76
E,R2X3,R1X3,R1X6,03,06,Oklahoma,Purdue,26,20,6,9,138,West,West,B,721,738,50.0,45.0,102.0,97.0,75.3125,74.0,11.590506621800447,12.918844829323477,62,66
C,R1X1,X01,X16,01,16,Arizona,Nicholls St,27,18,4,9,136,West,West,A,511,705,70.0,52.0,127.0,102.0,92.193548387096769,77.111111111111114,13.38371508006775,11.14328674611637,99,60
J,R1Y8,Y08,Y09,08,09,Stanford,Mississippi St,18,22,12,10,137,Austin,Austin,B,783,675,48.0,49.0,93.0,104.0,70.099999999999994,72.4375,11.040380428228007,12.999849758747214,70,93
H,R2Y4,R1Y4,R1Y5,13,05,Tulsa,Wisconsin,22,22,9,7,138,Midwest,Midwest,B,802,849,57.0,50.0,94.0,91.0,73.516129032258064,70.724137931034477,9.0798286460381625,10.689655172413795,60,61
D,R3Z2,R2Z2,R2Z3,10,06,Gonzaga,Florida,24,20,6,8,143,West,West,A,607,592,48.0,56.0,105.0,119.0,78.966666666666669,80.678571428571431,12.338242266312582,15.482832823643676,73,72
P,R1Z6,Z06,Z11,06,11,Georgetown,VA Commonwealth,21,23,10,11,137,Southwest,Southwest,B,603,825,46.0,51.0,111.0,101.0,71.032258064516128,71.529411764705884,14.713355510726153,11.32471345986718,56,74
N,R3Y2,R2Y2,R2Y3,02,03,Michigan St,Kansas,26,25,6,7,144,Midwest,Midwest,A,671,636,54.0,60.0,118.0,100.0,71.90625,77.125,12.802244371105404,10.291835356242345,67,62
G,R1Y6,Y06,Y11,06,11,California,Penn,22,25,8,6,137,South,South,A,539,728,53.0,50.0,107.0,100.0,72.599999999999994,73.129032258064512,13.167130793507496,11.050447182555253,82,75
M,R1W5,W05,W12,05,12,Notre Dame,George Mason,24,23,7,10,136,East,East,A,717,602,64.0,53.0,108.0,96.0,80.612903225806448,69.878787878787875,11.000520279059058,11.09124026662367,68,50
N,R1Z1,Z01,Z16,01,16,Connecticut,Chattanooga,27,16,4,16,136,West,West,A,559,547,60.0,42.0,117.0,100.0,77.322580645161295,75.0,13.0344137469764,11.939953936259553,103,47
L,R1X3,X03,X14,03,14,Texas A&M,Penn,25,21,6,8,136,South,South,A,794,728,52.0,48.0,101.0,93.0,76.322580645161295,74.068965517241381,13.712219878102591,10.365496593000287,68,52
G,R5YZ,R4Y1,R4Z1,05,02,Indiana,Oklahoma,19,27,11,4,152,South,West,A,625,721,49.0,55.0,88.0,109.0,69.166666666666671,78.225806451612897,10.705398430490831,14.136910456420864,73,64
L,R1X2,X02,X15,02,15,Memphis,North Texas,30,20,3,10,137,South,South,A,666,711,58.0,57.0,111.0,98.0,79.575757575757578,76.233333333333334,10.926837417168358,11.397904290799351,73,58
M,R4X1,R3X1,R3X2,01,10,Kansas,Davidson,30,25,3,6,146,Midwest,Midwest,A,636,568,59.0,59.0,109.0,98.0,81.181818181818187,77.322580645161295,11.263926183078937,10.033450815933392,59,57
O,R1Y1,Y01,Y16,01,16,Kansas,Lehigh,32,22,2,10,136,Midwest,Midwest,A,636,644,57.0,52.0,112.0,91.0,81.764705882352942,75.125,11.214640702669229,8.9573642886733147,90,74
F,R1X1,X01,X16,01,16,Stanford,UNC Greensboro,27,18,2,11,136,West,West,A,783,815,69.0,52.0,100.0,95.0,82.724137931034477,73.827586206896555,8.9245749506595864,9.69916087915907,89,60
I,R2X3,R1X3,R1X6,03,06,NC State,Vanderbilt,20,21,9,9,139,Phoenix,Phoenix,B,695,827,55.0,55.0,92.0,98.0,73.34482758620689,73.833333333333329,9.9456310355055617,11.535693400148178,73,75
L,R1W7,W07,W10,07,10,Boston College,Texas Tech,20,21,11,12,136,East,East,A,527,796,54.0,45.0,101.0,98.0,74.645161290322577,71.575757575757578,12.180228259677913,13.357622504455406,84,75
D,R1Y8,Y08,Y09,08,09,Syracuse,Oklahoma St,20,21,11,10,136,South,South,B,786,722,50.0,37.0,96.0,93.0,72.387096774193552,70.129032258064512,12.338446128325986,12.653552186419564,61,69
E,R2W4,R1W4,R1W5,04,05,Syracuse,Kentucky,24,21,5,9,138,Midwest,Midwest,A,786,640,54.0,51.0,105.0,86.0,76.241379310344826,69.433333333333337,10.791616070257867,8.6320462361031289,52,50
K,R1W6,W06,W11,06,11,West Virginia,S Illinois,19,22,10,9,137,Atlanta,Atlanta,A,843,749,52.0,42.0,104.0,80.0,70.65517241379311,60.774193548387096,12.321206451421441,7.9543442276262644,64,46
E,R1X4,X04,X13,04,13,LSU,SE Missouri St,26,22,5,6,136,West,West,A,655,762,55.0,48.0,112.0,93.0,77.225806451612897,69.535714285714292,14.329553664388975,10.877506748387908,64,61
P,R2Z3,R1Z3,R1Z6,03,11,Purdue,VA Commonwealth,25,23,7,11,139,Southwest,Southwest,B,738,825,54.0,51.0,103.0,101.0,72.65625,71.529411764705884,10.257952326731685,11.32471345986718,76,94
O,R1W5,W05,W12,05,12,Temple,Cornell,29,25,5,4,137,East,East,B,789,561,45.0,48.0,78.0,104.0,64.941176470588232,75.172413793103445,9.7042779422594272,11.782713713294783,65,78
F,R4X1,R3X1,R3X2,01,03,Stanford,Maryland,27,21,2,10,145,West,West,B,783,662,69.0,62.0,100.0,123.0,82.724137931034477,85.741935483870961,8.9245749506595864,14.895263897510604,73,87
C,R1Z2,Z02,Z15,02,15,Kentucky,S Carolina St,29,22,4,6,137,South,South,A,640,747,63.0,40.0,99.0,100.0,79.060606060606062,74.607142857142861,8.6372673636676556,11.302146716803994,82,67
G,R2X1,R1X1,R1X8,01,08,Kansas,Stanford,27,19,3,9,138,Midwest,Midwest,A,636,783,55.0,54.0,110.0,105.0,91.033333333333331,81.178571428571431,12.196948616582574,10.505282927544364,86,63
F,R1Z7,Z07,Z10,07,10,Penn St,Providence,19,20,11,9,137,South,South,A,729,737,57.0,51.0,100.0,110.0,77.066666666666663,75.206896551724142,11.138322235517439,14.059919336465594,69,59
