season,winslot,Aslot,Bslot,winner,teamA,teamB,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,Ascore,Bscore,daynum,Aregion,Bregion
D,R3X1,R2X1,R2X4,671,671,721,01,13,Michigan St,Oklahoma,29,19,4,10,54,46,144,Midwest,Midwest
D,R3X2,R2X2,R2X3,640,669,640,10,03,Miami OH,Kentucky,22,25,7,8,43,58,144,Midwest,Midwest
D,R3Y1,R2Y1,R2Y4,720,518,720,01,04,Auburn,Ohio St,27,23,3,8,64,72,143,South,South
D,R3Y2,R2Y2,R2Y3,778,662,778,02,03,Maryland,St Johns,25,25,5,8,62,76,143,South,South
D,R3Z1,R2Z1,R2Z4,559,559,628,01,05,Connecticut,Iowa,28,18,2,9,78,68,143,West,West
D,R3Z2,R2Z2,R2Z3,607,607,592,10,06,Gonzaga,Florida,24,20,6,8,73,72,143,West,West
D,R4W1,R3W1,R3W2,577,577,789,01,06,Duke,Temple,32,21,1,10,85,64,146,East,East
D,R4X1,R3X1,R3X2,671,671,640,01,03,Michigan St,Kentucky,29,25,4,8,73,66,146,Midwest,Midwest
D,R4Y1,R3Y1,R3Y2,720,720,778,04,03,Ohio St,St Johns,23,25,8,8,77,74,145,South,South
D,R4Z1,R3Z1,R3Z2,559,559,607,01,10,Connecticut,Gonzaga,28,24,2,6,67,62,145,West,West
D,R5WX,R4W1,R4X1,577,577,671,01,01,Duke,Michigan St,32,29,1,4,68,62,152,East,Midwest
D,R5YZ,R4Y1,R4Z1,559,720,559,04,01,Ohio St,Connecticut,23,28,8,2,58,64,152,South,West
D,R6CH,R5WX,R5YZ,559,577,559,01,01,Duke,Connecticut,32,28,1,2,74,77,154,East,West
E,R1W1,W01,W16,671,671,826,01,16,Michigan St,Valparaiso,26,17,7,12,65,38,136,Midwest,Midwest
E,R1W2,W02,W15,629,629,544,02,15,Iowa St,Central Conn,27,25,4,5,88,78,136,Midwest,Midwest
E,R1W3,W03,W14,662,662,627,03,14,Maryland,Iona,24,20,9,10,74,59,136,Midwest,Midwest
E,R1W4,W04,W13,786,786,752,04,13,Syracuse,Samford,24,20,5,10,79,65,136,Midwest,Midwest
E,R1W5,W05,W12,640,640,775,05,12,Kentucky,St Bonaventure,21,21,9,9,85,80,136,Midwest,Midwest
E,R1W6,W06,W11,810,810,520,06,11,UCLA,Ball St,19,21,11,8,65,57,136,Midwest,Midwest
E,R1W7,W07,W10,518,518,562,07,10,Auburn,Creighton,22,23,9,9,72,69,136,Midwest,Midwest
E,R1W8,W08,W09,821,821,780,08,09,Utah,St Louis,20,19,8,13,48,45,136,Midwest,Midwest
E,R1X1,X01,X16,511,511,632,01,16,Arizona,Jackson St,26,16,6,15,71,47,136,West,West
E,R1X2,X02,X15,778,778,713,02,15,St Johns,Northern Arizona,24,18,7,10,61,56,136,West,West
E,R1X3,X03,X14,721,721,848,03,14,Oklahoma,Winthrop,26,18,6,8,74,50,136,West,West
E,R1X4,X04,X13,655,655,762,04,13,LSU,SE Missouri St,26,22,5,6,64,61,136,West,West
E,R1X5,X05,X12,793,793,626,05,12,Texas,Indiana St,23,22,8,9,77,61,136,West,West
E,R1X6,X06,X11,738,738,569,06,11,Purdue,Dayton,20,22,9,8,62,61,136,West,West
E,R1X7,X07,X10,607,651,607,07,10,Louisville,Gonzaga,18,24,11,8,66,77,136,West,West
E,R1X8,X08,X09,849,849,597,08,09,Wisconsin,Fresno St,18,24,13,9,66,56,136,West,West
E,R1Y1,Y01,Y16,577,577,643,01,16,Duke,Lamar,27,15,4,15,82,55,137,East,East
E,R1Y2,Y02,Y15,789,789,642,02,15,Temple,Lafayette,26,22,5,6,73,47,137,East,East
E,R1Y3,Y03,Y14,722,722,615,03,14,Oklahoma St,Hofstra,23,24,6,6,86,66,137,East,East
E,R1Y4,Y04,Y13,623,623,728,04,13,Illinois,Penn,21,21,9,7,68,58,137,East,East
E,R1Y5,Y05,Y12,592,592,535,05,12,Florida,Butler,24,23,7,7,69,68,137,East,East
E,R1Y6,Y06,Y11,730,625,730,06,11,Indiana,Pepperdine,20,24,8,8,57,77,137,East,East
E,R1Y7,Y07,Y10,764,725,764,07,10,Oregon,Seton Hall,21,20,7,9,71,72,137,East,East
E,R1Y8,Y08,Y09,636,636,573,08,09,Kansas,DePaul,22,20,9,11,81,77,137,East,East
E,R1Z1,Z01,Z16,783,783,747,01,16,Stanford,S Carolina St,25,20,3,13,84,65,137,South,South
E,R1Z2,Z02,Z15,549,549,816,02,15,Cincinnati,UNC Wilmington,28,18,3,12,64,47,137,South,South
E,R1Z3,Z03,Z14,720,720,510,03,14,Ohio St,Appalachian St,22,20,6,8,87,61,137,South,South
E,R1Z4,Z04,Z13,790,790,811,04,13,Tennessee,ULL,23,25,6,8,63,58,137,South,South
E,R1Z5,Z05,Z12,559,559,822,05,12,Connecticut,Utah St,24,24,9,5,75,67,137,South,South
E,R1Z6,Z06,Z11,668,668,515,06,11,Miami FL,Arkansas,21,19,10,14,75,71,137,South,South
E,R1Z7,Z07,Z10,802,802,817,07,10,Tulsa,UNLV,29,23,4,7,89,62,137,South,South
E,R1Z8,Z08,Z09,708,708,676,08,09,North Carolina,Missouri,18,18,13,12,84,70,137,South,South
E,R2W1,R1W1,R1W8,671,671,821,01,08,Michigan St,Utah,26,20,7,8,73,61,138,Midwest,Midwest
E,R2W2,R1W2,R1W7,629,629,518,02,07,Iowa St,Auburn,27,22,4,9,79,60,138,Midwest,Midwest
E,R2W3,R1W3,R1W6,810,662,810,03,06,Maryland,UCLA,24,19,9,11,70,105,138,Midwest,Midwest
E,R2W4,R1W4,R1W5,786,786,640,04,05,Syracuse,Kentucky,24,21,5,9,52,50,138,Midwest,Midwest
E,R2X1,R1X1,R1X8,849,511,849,01,08,Arizona,Wisconsin,26,18,6,13,59,66,138,West,West
E,R2X2,R1X2,R1X7,607,778,607,02,10,St Johns,Gonzaga,24,24,7,8,76,82,138,West,West
E,R2X3,R1X3,R1X6,738,721,738,03,06,Oklahoma,Purdue,26,20,6,9,62,66,138,West,West
E,R2X4,R1X4,R1X5,655,655,793,04,05,LSU,Texas,26,23,5,8,72,67,138,West,West
E,R2Y1,R1Y1,R1Y8,577,577,636,01,08,Duke,Kansas,27,22,4,9,69,64,139,East,East
E,R2Y2,R1Y2,R1Y7,764,789,764,02,10,Temple,Seton Hall,26,20,5,9,65,67,139,East,East
E,R2Y3,R1Y3,R1Y6,722,722,730,03,11,Oklahoma St,Pepperdine,23,24,6,8,75,67,139,East,East
E,R2Y4,R1Y4,R1Y5,592,623,592,04,05,Illinois,Florida,21,24,9,7,76,93,139,East,East
E,R2Z1,R1Z1,R1Z8,708,783,708,01,08,Stanford,North Carolina,25,18,3,13,53,60,139,South,South
E,R2Z2,R1Z2,R1Z7,802,549,802,02,07,Cincinnati,Tulsa,28,29,3,4,61,69,139,South,South
E,R2Z3,R1Z3,R1Z6,668,720,668,03,06,Ohio St,Miami FL,22,21,6,10,62,75,139,South,South
E,R2Z4,R1Z4,R1Z5,790,790,559,04,05,Tennessee,Connecticut,23,24,6,9,65,51,139,South,South
E,R3W1,R2W1,R2W4,671,671,786,01,04,Michigan St,Syracuse,26,24,7,5,75,58,143,Midwest,Midwest
E,R3W2,R2W2,R2W3,629,629,810,02,06,Iowa St,UCLA,27,19,4,11,80,56,143,Midwest,Midwest
E,R3X1,R2X1,R2X4,849,849,655,08,04,Wisconsin,LSU,18,26,13,5,61,48,143,West,West
E,R3X2,R2X2,R2X3,738,607,738,10,06,Gonzaga,Purdue,24,20,8,9,66,75,143,West,West
E,R3Y1,R2Y1,R2Y4,592,577,592,01,05,Duke,Florida,27,24,4,7,78,87,144,East,East
E,R3Y2,R2Y2,R2Y3,722,764,722,10,03,Seton Hall,Oklahoma St,20,23,9,6,66,68,144,East,East
E,R3Z1,R2Z1,R2Z4,708,708,790,08,04,North Carolina,Tennessee,18,23,13,6,74,69,144,South,South
E,R3Z2,R2Z2,R2Z3,802,802,668,07,06,Tulsa,Miami FL,29,21,4,10,80,71,144,South,South
E,R4W1,R3W1,R3W2,671,671,629,01,02,Michigan St,Iowa St,26,27,7,4,75,64,145,Midwest,Midwest
E,R4X1,R3X1,R3X2,849,849,738,08,06,Wisconsin,Purdue,18,20,13,9,64,60,145,West,West
E,R4Y1,R3Y1,R3Y2,592,592,722,05,03,Florida,Oklahoma St,24,23,7,6,77,65,146,East,East
E,R4Z1,R3Z1,R3Z2,708,708,802,08,07,North Carolina,Tulsa,18,29,13,4,59,55,146,South,South
E,R5WX,R4W1,R4X1,671,671,849,01,08,Michigan St,Wisconsin,26,18,7,13,53,41,152,Midwest,West
E,R5YZ,R4Y1,R4Z1,592,592,708,05,08,Florida,North Carolina,24,18,7,13,71,59,152,East,South
E,R6CH,R5WX,R5YZ,671,671,592,01,05,Michigan St,Florida,26,24,7,7,89,76,154,Midwest,East
F,Y16,Y16a,Y16b,716,716,848,16,16,Northwestern LA,Winthrop,18,17,12,12,71,67,134,Midwest,Midwest
F,R1W1,W01,W16,577,577,679,01,16,Duke,Monmouth NJ,29,21,4,9,95,52,136,East,East
F,R1W2,W02,W15,640,640,616,02,15,Kentucky,Holy Cross,22,22,9,7,72,68,136,East,East
F,R1W3,W03,W14,527,527,774,03,14,Boston College,Southern Utah,26,23,4,5,68,65,136,East,East
F,R1W4,W04,W13,810,810,615,04,13,UCLA,Hofstra,21,26,8,4,61,48,136,East,East
F,R1W5,W05,W12,822,720,822,05,12,Ohio St,Utah St,20,25,10,5,68,77,136,East,East
F,R1W6,W06,W11,818,818,722,06,11,USC,Oklahoma St,20,19,9,9,69,54,136,East,East
F,R1W7,W07,W10,628,628,562,07,10,Iowa,Creighton,22,24,11,7,69,56,136,East,East
F,R1W8,W08,W09,676,604,676,08,09,Georgia,Missouri,16,19,14,12,68,70,136,East,East
F,R1X1,X01,X16,783,783,815,01,16,Stanford,UNC Greensboro,27,18,2,11,89,60,136,West,West
F,R1X2,X02,X15,610,629,610,02,15,Iowa St,Hampton,24,24,5,6,57,58,136,West,West
F,R1X3,X03,X14,662,662,602,03,14,Maryland,George Mason,21,18,10,11,83,80,136,West,West
F,R1X4,X04,X13,639,625,639,04,13,Indiana,Kent,21,22,12,9,73,77,136,West,West
F,R1X5,X05,X12,549,549,536,05,12,Cincinnati,BYU,23,24,9,8,84,59,136,West,West
F,R1X6,X06,X11,605,849,605,06,11,Wisconsin,Georgia St,18,27,10,4,49,50,136,West,West
F,R1X7,X07,X10,603,515,603,07,10,Arkansas,Georgetown,20,23,10,7,61,63,136,West,West
F,R1X8,X08,X09,779,606,779,08,09,Georgia Tech,St Josephs PA,17,25,12,6,62,66,136,West,West
F,R1Y1,Y01,Y16,623,623,716,01,16,Illinois,Northwestern LA,24,18,7,12,96,54,137,Midwest,Midwest
F,R1Y2,Y02,Y15,511,511,579,02,15,Arizona,E Illinois,22,19,7,9,101,76,137,Midwest,Midwest
F,R1Y3,Y03,Y14,674,674,627,03,14,Mississippi,Iona,25,21,7,10,72,70,137,Midwest,Midwest
F,R1Y4,Y04,Y13,636,636,565,04,13,Kansas,CS Northridge,22,20,6,9,99,75,137,Midwest,Midwest
F,R1Y5,Y05,Y12,786,786,613,05,12,Syracuse,Hawaii,24,17,8,13,79,69,137,Midwest,Midwest
F,R1Y6,Y06,Y11,717,717,853,06,11,Notre Dame,Xavier,19,21,9,7,83,71,137,Midwest,Midwest
F,R1Y7,Y07,Y10,535,839,535,07,10,Wake Forest,Butler,19,23,10,7,63,79,137,Midwest,Midwest
F,R1Y8,Y08,Y09,546,790,546,08,09,Tennessee,Charlotte,22,21,10,10,63,70,137,Midwest,Midwest
F,R1Z1,Z01,Z16,671,671,506,01,16,Michigan St,Alabama St,24,22,4,8,69,35,137,South,South
F,R1Z2,Z02,Z15,708,708,736,02,15,North Carolina,Princeton,25,15,6,10,70,48,137,South,South
F,R1Z3,Z03,Z14,592,592,835,03,14,Florida,W Kentucky,23,22,6,6,69,56,137,South,South
F,R1Z4,Z04,Z13,626,721,626,04,13,Oklahoma,Indiana St,26,20,6,11,68,70,137,South,South
F,R1Z5,Z05,Z12,607,830,607,05,12,Virginia,Gonzaga,20,23,8,6,85,86,137,South,South
F,R1Z6,Z06,Z11,789,793,789,06,11,Texas,Temple,25,21,8,12,65,79,137,South,South
F,R1Z7,Z07,Z10,729,729,737,07,10,Penn St,Providence,19,20,11,9,69,59,137,South,South
F,R1Z8,Z08,Z09,597,539,597,08,09,California,Fresno St,20,25,10,6,70,82,137,South,South
F,R2W1,R1W1,R1W8,577,577,676,01,09,Duke,Missouri,29,19,4,12,94,81,138,East,East
F,R2W2,R1W2,R1W7,640,640,628,02,07,Kentucky,Iowa,22,22,9,11,92,79,138,East,East
F,R2W3,R1W3,R1W6,818,527,818,03,06,Boston College,USC,26,20,4,9,71,74,138,East,East
F,R2W4,R1W4,R1W5,810,810,822,04,12,UCLA,Utah St,21,25,8,5,75,50,138,East,East
F,R2X1,R1X1,R1X8,783,783,779,01,09,Stanford,St Josephs PA,27,25,2,6,90,83,138,West,West
F,R2X2,R1X2,R1X7,603,610,603,15,10,Hampton,Georgetown,24,23,6,7,57,76,138,West,West
F,R2X3,R1X3,R1X6,662,662,605,03,11,Maryland,Georgia St,21,27,10,4,79,60,138,West,West
F,R2X4,R1X4,R1X5,549,639,549,13,05,Kent,Cincinnati,22,23,9,9,43,66,138,West,West
F,R2Y1,R1Y1,R1Y8,623,623,546,01,09,Illinois,Charlotte,24,21,7,10,79,61,139,Midwest,Midwest
F,R2Y2,R1Y2,R1Y7,511,511,535,02,10,Arizona,Butler,22,23,7,7,73,52,139,Midwest,Midwest
F,R2Y3,R1Y3,R1Y6,674,674,717,03,06,Mississippi,Notre Dame,25,19,7,9,59,56,139,Midwest,Midwest
F,R2Y4,R1Y4,R1Y5,636,636,786,04,05,Kansas,Syracuse,22,24,6,8,87,58,139,Midwest,Midwest
F,R2Z1,R1Z1,R1Z8,671,671,597,01,09,Michigan St,Fresno St,24,25,4,6,81,65,139,South,South
F,R2Z2,R1Z2,R1Z7,729,708,729,02,07,North Carolina,Penn St,25,19,6,11,74,82,139,South,South
F,R2Z3,R1Z3,R1Z6,789,592,789,03,11,Florida,Temple,23,21,6,12,54,75,139,South,South
F,R2Z4,R1Z4,R1Z5,607,626,607,13,12,Indiana St,Gonzaga,20,23,11,6,68,85,139,South,South
F,R3W1,R2W1,R2W4,577,577,810,01,04,Duke,UCLA,29,21,4,8,76,63,143,East,East
F,R3W2,R2W2,R2W3,818,640,818,02,06,Kentucky,USC,22,20,9,9,76,80,143,East,East
F,R3X1,R2X1,R2X4,783,783,549,01,05,Stanford,Cincinnati,27,23,2,9,78,65,143,West,West
F,R3X2,R2X2,R2X3,662,603,662,10,03,Georgetown,Maryland,23,21,7,10,66,76,143,West,West
F,R3Y1,R2Y1,R2Y4,623,623,636,01,04,Illinois,Kansas,24,22,7,6,80,64,144,Midwest,Midwest
F,R3Y2,R2Y2,R2Y3,511,511,674,02,03,Arizona,Mississippi,22,25,7,7,66,56,144,Midwest,Midwest
F,R3Z1,R2Z1,R2Z4,671,671,607,01,12,Michigan St,Gonzaga,24,23,4,6,77,62,144,South,South
F,R3Z2,R2Z2,R2Z3,789,729,789,07,11,Penn St,Temple,19,21,11,12,72,84,144,South,South
F,R4W1,R3W1,R3W2,577,577,818,01,06,Duke,USC,29,20,4,9,79,69,145,East,East
F,R4X1,R3X1,R3X2,662,783,662,01,03,Stanford,Maryland,27,21,2,10,73,87,145,West,West
F,R4Y1,R3Y1,R3Y2,511,623,511,01,02,Illinois,Arizona,24,22,7,7,81,87,146,Midwest,Midwest
F,R4Z1,R3Z1,R3Z2,671,671,789,01,11,Michigan St,Temple,24,21,4,12,69,62,146,South,South
F,R5WX,R4W1,R4X1,577,577,662,01,03,Duke,Maryland,29,21,4,10,95,84,152,East,West
F,R5YZ,R4Y1,R4Z1,511,511,671,02,01,Arizona,Michigan St,22,24,7,4,80,61,152,Midwest,South
F,R6CH,R5WX,R5YZ,577,577,511,01,02,Duke,Arizona,29,22,4,7,82,72,154,East,Midwest
G,W16,W16a,W16b,766,508,766,16,16,Alcorn St,Siena,20,16,9,18,77,81,134,East,East
G,R1W1,W01,W16,662,662,766,01,16,Maryland,Siena,26,16,4,18,85,70,137,East,East
G,R1W2,W02,W15,559,559,610,02,15,Connecticut,Hampton,24,25,6,6,78,67,137,East,East
G,R1W3,W03,W14,604,604,687,03,14,Georgia,Murray St,21,17,9,12,85,68,137,East,East
G,R1W4,W04,W13,640,640,826,04,13,Kentucky,Valparaiso,19,24,9,7,83,68,136,East,East
G,R1W5,W05,W12,802,660,802,05,12,Marquette,Tulsa,26,25,6,6,69,71,136,East,East
G,R1W6,W06,W11,749,796,749,06,11,Texas Tech,S Illinois,23,26,8,7,68,76,137,East,East
G,R1W7,W07,W10,695,695,671,07,10,NC State,Michigan St,22,19,10,11,69,58,137,East,East
G,R1W8,W08,W09,849,849,778,08,09,Wisconsin,St Johns,17,20,12,11,80,70,137,East,East
G,R1X1,X01,X16,636,636,616,01,16,Kansas,Holy Cross,27,18,3,14,70,59,136,Midwest,Midwest
G,R1X2,X02,X15,725,725,680,02,15,Oregon,Montana,22,14,8,14,81,62,136,Midwest,Midwest
G,R1X3,X03,X14,675,675,664,03,14,Mississippi St,McNeese St,26,20,7,8,70,58,137,Midwest,Midwest
G,R1X4,X04,X13,623,623,754,04,13,Illinois,San Diego St,24,20,8,11,93,64,137,Midwest,Midwest
G,R1X5,X05,X12,562,592,562,05,12,Florida,Creighton,22,22,8,8,82,83,137,Midwest,Midwest
G,R1X6,X06,X11,793,793,527,06,11,Texas,Boston College,20,20,11,11,70,57,137,Midwest,Midwest
G,R1X7,X07,X10,839,839,730,07,10,Wake Forest,Pepperdine,20,21,12,8,83,74,136,Midwest,Midwest
G,R1X8,X08,X09,783,783,835,08,09,Stanford,W Kentucky,19,26,9,3,84,68,136,Midwest,Midwest
G,R1Y1,Y01,Y16,577,577,848,01,16,Duke,Winthrop,29,17,3,11,84,37,136,South,South
G,R1Y2,Y02,Y15,504,504,590,02,15,Alabama,FL Atlantic,26,18,7,11,86,78,136,South,South
G,R1Y3,Y03,Y14,731,731,544,03,14,Pittsburgh,Central Conn,27,27,5,4,71,54,137,South,South
G,R1Y4,Y04,Y13,816,818,816,04,13,USC,UNC Wilmington,22,22,9,9,89,93,136,South,South
G,R1Y5,Y05,Y12,625,625,821,05,12,Indiana,Utah,19,19,11,8,75,56,136,South,South
G,R1Y6,Y06,Y11,539,539,728,06,11,California,Penn,22,25,8,6,82,75,137,South,South
G,R1Y7,Y07,Y10,639,722,639,07,10,Oklahoma St,Kent,23,26,8,5,61,69,136,South,South
G,R1Y8,Y08,Y09,717,717,546,08,09,Notre Dame,Charlotte,20,18,10,11,82,63,136,South,South
G,R1Z1,Z01,Z16,549,549,528,01,16,Cincinnati,Boston Univ,30,22,3,9,90,52,137,West,West
G,R1Z2,Z02,Z15,721,721,622,02,15,Oklahoma,IL Chicago,27,18,4,13,71,63,137,West,West
G,R1Z3,Z03,Z14,511,511,757,03,14,Arizona,Santa Barbara,22,19,9,10,86,81,136,West,West
G,R1Z4,Z04,Z13,720,720,568,04,13,Ohio St,Davidson,23,18,7,9,69,64,136,West,West
G,R1Z5,Z05,Z12,676,668,676,05,12,Miami FL,Missouri,24,21,7,11,80,93,136,West,West
G,R1Z6,Z06,Z11,852,607,852,06,11,Gonzaga,Wyoming,28,20,3,8,66,73,136,West,West
G,R1Z7,Z07,Z10,853,853,613,07,10,Xavier,Hawaii,25,27,5,5,70,58,137,West,West
G,R1Z8,Z08,Z09,810,810,674,08,09,UCLA,Mississippi,19,19,11,10,80,58,137,West,West
G,R2W1,R1W1,R1W8,662,662,849,01,08,Maryland,Wisconsin,26,17,4,12,87,57,139,East,East
G,R2W2,R1W2,R1W7,559,559,695,02,07,Connecticut,NC State,24,22,6,10,77,74,139,East,East
G,R2W3,R1W3,R1W6,749,604,749,03,11,Georgia,S Illinois,21,26,9,7,75,77,139,East,East
G,R2W4,R1W4,R1W5,640,640,802,04,12,Kentucky,Tulsa,19,25,9,6,87,82,138,East,East
G,R2X1,R1X1,R1X8,636,636,783,01,08,Kansas,Stanford,27,19,3,9,86,63,138,Midwest,Midwest
G,R2X2,R1X2,R1X7,725,725,839,02,07,Oregon,Wake Forest,22,20,8,12,92,87,138,Midwest,Midwest
G,R2X3,R1X3,R1X6,793,675,793,03,06,Mississippi St,Texas,26,20,7,11,64,68,139,Midwest,Midwest
G,R2X4,R1X4,R1X5,623,623,562,04,12,Illinois,Creighton,24,22,8,8,72,60,139,Midwest,Midwest
G,R2Y1,R1Y1,R1Y8,577,577,717,01,08,Duke,Notre Dame,29,20,3,10,84,77,138,South,South
G,R2Y2,R1Y2,R1Y7,639,504,639,02,10,Alabama,Kent,26,26,7,5,58,71,138,South,South
G,R2Y3,R1Y3,R1Y6,731,731,539,03,06,Pittsburgh,California,27,22,5,8,63,50,139,South,South
G,R2Y4,R1Y4,R1Y5,625,816,625,13,05,UNC Wilmington,Indiana,22,19,9,11,67,76,138,South,South
G,R2Z1,R1Z1,R1Z8,810,549,810,01,08,Cincinnati,UCLA,30,19,3,11,101,105,139,West,West
G,R2Z2,R1Z2,R1Z7,721,721,853,02,07,Oklahoma,Xavier,27,25,4,5,78,65,139,West,West
G,R2Z3,R1Z3,R1Z6,511,511,852,03,11,Arizona,Wyoming,22,20,9,8,68,60,138,West,West
G,R2Z4,R1Z4,R1Z5,676,720,676,04,12,Ohio St,Missouri,23,21,7,11,67,83,138,West,West
G,R3W1,R2W1,R2W4,662,662,640,01,04,Maryland,Kentucky,26,19,4,9,78,68,144,East,East
G,R3W2,R2W2,R2W3,559,559,749,02,11,Connecticut,S Illinois,24,26,6,7,71,59,144,East,East
G,R3X1,R2X1,R2X4,636,636,623,01,04,Kansas,Illinois,27,24,3,8,73,69,144,Midwest,Midwest
G,R3X2,R2X2,R2X3,725,725,793,02,06,Oregon,Texas,22,20,8,11,72,70,144,Midwest,Midwest
G,R3Y1,R2Y1,R2Y4,625,577,625,01,05,Duke,Indiana,29,19,3,11,73,74,143,South,South
G,R3Y2,R2Y2,R2Y3,639,639,731,10,03,Kent,Pittsburgh,26,27,5,5,78,73,143,South,South
G,R3Z1,R2Z1,R2Z4,676,810,676,08,12,UCLA,Missouri,19,21,11,11,73,82,143,West,West
G,R3Z2,R2Z2,R2Z3,721,721,511,02,03,Oklahoma,Arizona,27,22,4,9,88,67,143,West,West
G,R4W1,R3W1,R3W2,662,662,559,01,02,Maryland,Connecticut,26,24,4,6,90,82,146,East,East
G,R4X1,R3X1,R3X2,636,636,725,01,02,Kansas,Oregon,27,22,3,8,104,86,146,Midwest,Midwest
G,R4Y1,R3Y1,R3Y2,625,625,639,05,10,Indiana,Kent,19,26,11,5,81,69,145,South,South
G,R4Z1,R3Z1,R3Z2,721,676,721,12,02,Missouri,Oklahoma,21,27,11,4,75,81,145,West,West
G,R5WX,R4W1,R4X1,662,662,636,01,01,Maryland,Kansas,26,27,4,3,97,88,152,East,Midwest
G,R5YZ,R4Y1,R4Z1,625,625,721,05,02,Indiana,Oklahoma,19,27,11,4,73,64,152,South,West
G,R6CH,R5WX,R5YZ,662,662,625,01,05,Maryland,Indiana,26,19,4,11,64,52,154,East,South
H,X16,X16a,X16b,814,804,814,16,16,TX Southern,UNC Asheville,18,13,12,16,84,92,134,South,South
H,R1W1,W01,W16,721,721,747,01,16,Oklahoma,S Carolina St,24,20,6,10,71,54,136,East,East
H,R1W2,W02,W15,839,839,586,02,15,Wake Forest,ETSU,24,17,5,10,76,73,137,East,East
H,R1W3,W03,W14,786,786,658,03,14,Syracuse,Manhattan,24,23,5,6,76,65,137,East,East
H,R1W4,W04,W13,651,651,519,04,13,Louisville,Austin Peay,24,20,6,7,86,64,137,East,East
H,R1W5,W05,W12,535,675,535,05,12,Mississippi St,Butler,21,24,9,5,46,47,137,East,East
H,R1W6,W06,W11,722,722,728,06,11,Oklahoma St,Penn,20,22,9,5,77,63,137,East,East
H,R1W7,W07,W10,518,779,518,07,10,St Josephs PA,Auburn,23,19,6,11,63,65,137,East,East
H,R1W8,W08,W09,539,539,695,08,09,California,NC State,21,18,8,12,76,74,136,East,East
H,R1X1,X01,X16,793,793,814,01,16,Texas,UNC Asheville,22,13,6,16,82,61,137,South,South
H,R1X2,X02,X15,592,592,751,02,15,Florida,Sam Houston St,24,21,7,6,85,55,137,South,South
H,R1X3,X03,X14,853,853,800,03,14,Xavier,Troy,25,25,5,5,71,59,137,South,South
H,R1X4,X04,X13,783,783,753,04,13,Stanford,San Diego,23,17,8,11,77,69,136,South,South
H,R1X5,X05,X12,559,559,536,05,12,Connecticut,BYU,21,23,9,8,58,53,136,South,South
H,R1X6,X06,X11,662,662,816,06,11,Maryland,UNC Wilmington,19,24,9,6,75,73,137,South,South
H,R1X7,X07,X10,671,671,556,07,10,Michigan St,Colorado,19,20,12,11,79,64,137,South,South
H,R1X8,X08,X09,738,655,738,08,09,LSU,Purdue,21,18,10,10,56,80,137,South,South
H,R1Y1,Y01,Y16,640,640,631,01,16,Kentucky,IUPUI,29,19,3,13,95,64,137,Midwest,Midwest
H,R1Y2,Y02,Y15,731,731,838,02,15,Pittsburgh,Wagner,26,21,4,10,87,61,137,Midwest,Midwest
H,R1Y3,Y03,Y14,660,660,616,03,14,Marquette,Holy Cross,23,25,5,4,72,68,136,Midwest,Midwest
H,R1Y4,Y04,Y13,802,569,802,04,13,Dayton,Tulsa,24,22,5,9,71,84,136,Midwest,Midwest
H,R1Y5,Y05,Y12,849,849,842,05,12,Wisconsin,Weber St,22,25,7,4,81,74,136,Midwest,Midwest
H,R1Y6,Y06,Y11,676,676,749,06,11,Missouri,S Illinois,21,24,10,6,72,71,136,Midwest,Midwest
H,R1Y7,Y07,Y10,625,625,504,07,10,Indiana,Alabama,20,17,12,11,67,62,137,Midwest,Midwest
H,R1Y8,Y08,Y09,821,725,821,08,09,Oregon,Utah,23,23,9,7,58,60,137,Midwest,Midwest
H,R1Z1,Z01,Z16,511,511,828,01,16,Arizona,Vermont,25,19,3,10,80,51,136,West,West
H,R1Z2,Z02,Z15,636,636,822,02,15,Kansas,Utah St,23,22,7,8,64,61,136,West,West
H,R1Z3,Z03,Z14,577,577,557,03,14,Duke,Colorado St,24,17,6,13,67,57,136,West,West
H,R1Z4,Z04,Z13,623,623,835,04,13,Illinois,W Kentucky,24,23,6,8,65,60,136,West,West
H,R1Z5,Z05,Z12,717,717,845,05,12,Notre Dame,WI Milwaukee,22,23,9,7,70,69,136,West,West
H,R1Z6,Z06,Z11,537,562,537,06,11,Creighton,C Michigan,29,23,4,6,73,79,136,West,West
H,R1Z7,Z07,Z10,512,666,512,07,10,Memphis,Arizona St,23,18,6,11,71,84,136,West,West
H,R1Z8,Z08,Z09,607,549,607,08,09,Cincinnati,Gonzaga,17,23,11,8,69,74,136,West,West
H,R2W1,R1W1,R1W8,721,721,539,01,08,Oklahoma,California,24,21,6,8,74,65,138,East,East
H,R2W2,R1W2,R1W7,518,839,518,02,10,Wake Forest,Auburn,24,19,5,11,62,68,139,East,East
H,R2W3,R1W3,R1W6,786,786,722,03,06,Syracuse,Oklahoma St,24,20,5,9,68,56,139,East,East
H,R2W4,R1W4,R1W5,535,651,535,04,12,Louisville,Butler,24,24,6,5,71,79,139,East,East
H,R2X1,R1X1,R1X8,793,793,738,01,09,Texas,Purdue,22,18,6,10,77,67,139,South,South
H,R2X2,R1X2,R1X7,671,592,671,02,07,Florida,Michigan St,24,19,7,12,46,68,139,South,South
H,R2X3,R1X3,R1X6,662,853,662,03,06,Xavier,Maryland,25,19,5,9,64,77,139,South,South
